Placa;SVC Implantação;Regional;Modal;Locadora;Modelo;Cronograma Planejamento;Previsão Final Entrega;Entregue
TUG6J79;SRJ10 - RJ Taquara (Barra);RJ/ES;Vuc Deluna;Deluna;SPRINTER 317;Abril;;27/04/2026
TUG6J80;SRJ10 - RJ Taquara (Barra);RJ/ES;Vuc Deluna;Deluna;SPRINTER 317;Abril;;27/04/2026
TUG6J81;SRJ10 - RJ Taquara (Barra);RJ/ES;Vuc Deluna;Deluna;SPRINTER 317;Abril;;27/04/2026
TUF6J99;SES1 - Serra (Vitória);RJ/ES;Vuc Deluna;Deluna;SPRINTER 317;Abril;;27/04/2026
TUF6J98;SES1 - Serra (Vitória);RJ/ES;Vuc Deluna;Deluna;SPRINTER 317;Abril;;27/04/2026
TUF6J97;SES1 - Serra (Vitória);RJ/ES;Vuc Deluna;Deluna;SPRINTER 317;Abril;;27/04/2026
TUE6J97;SES1 - Serra (Vitória);RJ/ES;Vuc Deluna;Deluna;SPRINTER 317;Abril;;27/04/2026
TUG6J78;SES1 - Serra (Vitória);RJ/ES;Vuc Deluna;Deluna;SPRINTER 317;Abril;;27/04/2026
TZI6A44;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;JUMPER CARGOL3H2 13m³ 2.2 MEC DIESEL;Maio;29/05/2026;29/05/2026
TZI6A49;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;JUMPER CARGOL3H2 13m³ 2.2 MEC DIESEL;Maio;29/05/2026;29/05/2026
TZQ7B50;SRJ7 - Macaé;RJ/ES;Utilitário;Vamos;FIORINO ENDURANCE 1.3 FLEX 002 PASSAGEIROS;Junho;04/07/2026;03/07/2026
TZK7G86;SMG14 - Nova Lima;MG;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Junho;-;29/06/2026
TZK7G88;SMG14 - Nova Lima;MG;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Junho;-;29/06/2026
TZK7G89;SMG14 - Nova Lima;MG;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Junho;-;01/07/2026
TZK7G92;SMG14 - Nova Lima;MG;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Junho;-;29/06/2026
TZK7G93;SMG14 - Nova Lima;MG;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Julho;-;29/06/2026
TZK7G95;SMG14 - Nova Lima;MG;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Julho;-;29/06/2026
TZK7G96;SMG14 - Nova Lima;MG;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Julho;08/07/2026;08/07/2026
TZK7H02;SMG14 - Nova Lima;MG;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Julho;-;29/06/2026
TZK7H03;SMG14 - Nova Lima;MG;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Julho;-;29/06/2026
TZK7G04;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Maio;17/06/2026;17/06/2026
TZK7G05;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Maio;17/06/2026;17/06/2026
TZK7G07;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Maio;16/06/2026;12/06/2026
TZK7G09;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Maio;16/06/2026;12/06/2026
TZK7G10;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Maio;16/06/2026;12/06/2026
TZK7G21;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Maio;16/06/2026;12/06/2026
TZK7G22;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Junho;17/06/2026;17/06/2026
TZK7G23;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Junho;17/06/2026;17/06/2026
TZK7G25;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Junho;16/06/2026;12/06/2026
TZK7G30;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Junho;16/06/2026;12/06/2026
TZK7G32;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Junho;17/06/2026;17/06/2026
TZK7G41;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Julho;17/06/2026;17/06/2026
TZK7G42;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Julho;17/06/2026;17/06/2026
TZK7G43;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Julho;17/06/2026;17/06/2026
TZM0A63;SRJ1 - RJ Cordovil (Rio de Janeiro);RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Julho;17/06/2026;17/06/2026
TZN9E41;SES2 - Cachoeiro do Itapemirim;RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Maio;06/07/2026;06/07/2026
TZN9E67;SES2 - Cachoeiro do Itapemirim;RJ/ES;Utilitário;Localiza;Fiorino ENDURANCE FLEX 1.3 2P;Maio;08/07/2026;08/07/2026
